Video ID,Bitrate,B-Frames,IP Factor,PB Factor,QP Step,Ref Number,Subme
WLJ1C47J,2048,0,1.4,1.3,4,3,5
RA00RTGR,2048,0,1.4,1.3,4,3,5
QLLWKV0J,2048,0,1.4,1.3,4,3,5
1H42QH31,2048,0,1.4,1.3,4,3,5
ZMVU6XHZ,2048,0,1.4,1.3,4,3,5
3TS844WY,2048,0,1.4,1.3,4,3,5
28WTCHT7,2048,0,1.4,1.3,4,3,5
YT1YH8Y3,2048,0,1.4,1.3,4,3,5
FI58CYVL,2048,0,1.4,1.3,4,3,5
HTIRLQ6J,2048,0,1.4,1.3,4,3,5
JBW12T2X,2048,0,1.4,1.3,4,3,5
3K7TAXTR,2048,0,1.4,1.3,4,3,5
3MA4WIC4,2048,0,1.4,1.3,4,3,5
NWKWCEOI,2048,0,1.4,1.3,4,3,5
B23KQKQJ,2048,0,1.4,1.3,4,3,5
6HQGIMPT,2048,0,1.4,1.3,4,3,5
8NY3H6CP,2048,0,1.4,1.3,4,3,5
L5ZDUMEL,2048,0,1.4,1.3,4,3,5
ZSGVHULE,2048,0,1.4,1.3,4,3,5
0LGHBGZI,2048,0,1.4,1.3,4,3,5
HUF1A4LH,2048,0,1.4,1.3,4,3,5
DCARO6UV,2048,0,1.4,1.3,4,3,5
H76BTDJ8,2048,0,1.4,1.3,4,3,5
38I6C8KL,2048,0,1.4,1.3,4,3,5
